agent_version,all_passed,blocked,condition,coverage_json,denominator,end_reason,errors,evaluation_attempted,evaluation_completed,evaluation_id,evaluation_kind,evaluation_outcome,evaluation_validity,experiment_version,failed,input_tokens,ledger_hash,manifest_hash,measurement_state,missing_originals_json,missing_reason,model_id,observed_tokens,output_tokens,passed,phase,planned_run,quality_percent,results_hash,run_id,score_version,source_availability,state,submission_hash,telemetry_state,total_tokens,usage_complete,usage_hash,validity_reason,validity_record_hash,validity_registry_hash
1.0.83-5,,,normal,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,normal-006,,,unstarted:normal-006,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,anti,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,anti-006,,,unstarted:anti-006,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,normal,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,normal-007,,,unstarted:normal-007,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,anti,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,anti-007,,,unstarted:anti-007,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,anti,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,anti-008,,,unstarted:anti-008,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,normal,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,normal-008,,,unstarted:normal-008,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,anti,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,anti-009,,,unstarted:anti-009,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,normal,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,normal-009,,,unstarted:normal-009,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,anti,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,anti-010,,,unstarted:anti-010,,not_acquired,not_started,,not_acquired,,False,,,,
1.0.83-5,,,normal,,57,,,False,False,,,,,copilot-acquisition10-20260910-muse-spark-1.2-contributor,,,,,not_attempted,[],not_started,muse-spark-1.2-contributor,,,,data-acquisition,normal-010,,,unstarted:normal-010,,not_acquired,not_started,,not_acquired,,False,,,,
